生死桥, 李碧华, 23.0 
重读: 在咖啡馆遇见14个作家, 唐诺, 56.00 
周夢蝶詩文集, 周夢蝶, NT$1160 
树犹如此, 白先勇, 39.00元 
七声, 葛亮, 28.00元 
小说稗类, 张大春, 33.00元 
夏宇詩集／Salsa, 夏宇, NT$320 
東課樓經變, 費瀅, NT$280 
突然我記起你的臉: 智慧田005, 黃碧雲, NT$180 
無愛紀: 智慧田029, 黃碧雲, TWD250 
简媜散文, 简媜、伊始（编）, 15.0 
鳄鱼手记, 邱妙津, 32.00元 
她是女子，我也是女子, 黃碧雲, HK$47 
天工开物·栩栩如真: “自然史”三部曲之一, 董启章, 29.00元 
我城, 西西, 26.00元 
沉默。暗啞。微小。: 智慧田057, 黃碧雲, 230 
荒人手记, 朱天文, 25.00 
女儿红, 简媜, 18.00元 
我愛過的那個時代: 當時，我們以為可以改變世界, 川本三郎, NT.280 
夏宇詩集／腹語術, 夏宇, 1991-3-15 
寂寞的十七岁, 白先勇, 39.00元 
伤心咖啡店之歌, 朱少麟, 25.00元 
世纪末的华丽: 小说集1988-1990, 朱天文, 18.00元 
時裝時刻: my fashion moments 87-07, 黎堅惠, 港币150元 
像我这样的一个女子, 西西, 22.00元 
阅读的故事, 唐诺, 32.00元 
屁眼文化, 約翰•高登醫師（Dr.JeanGordin）、奧立維爾•瑪帝醫師（Dr.OlivierMarty）, 台币320.00 
布考斯基煮了七十年的一鍋東西, 查理．布考斯基, NT$330 
胭脂扣, 李碧华, 18.00元 
像我这样的一个读者, 西西, 42 
怎樣製造一顆核子彈, 法蘭克·巴納比, NT$200 
煮海时光: 侯孝贤的光影记忆, [美]白睿文, 69.00元 
備忘錄, 夏宇, 1987 
牯嶺街少年殺人事件: 一部不一樣電影的分鏡劇本, 楊德昌、鴻鴻、楊順清、賴銘棠, NT200 
詩60首, 夏宇, NT380 
痛快日记, 蔡康永, 170 
亞細亞的孤兒, 吳濁流, 180元 
刹那, 周梦蝶, 19.80元 
初夏荷花时期的爱情, 朱天心, 26.00元 
温柔与暴烈, 黄碧云, HK$40.00 
辛波斯卡, WislawaSzymborska, NT$270 
男性多重高潮, Chia,Mantak、Abrams,RachelCarlton, 290TWD 
清末民初的粵語書寫, 李婉薇, HK$128.00 
这些人，那些事, 吴念真, 28.00元 
摩擦．無以名狀, 夏宇, 79.00 
